,Name of movie,Year of release,Watchtime,Movie Rating
0,The Shawshank Redemption,1994,142,9.3
1,The Godfather,1972,175,9.2
2,Soorarai Pottru,2020,153,9.1
3,The Dark Knight,2008,152,9.0
4,The Godfather: Part II,1974,202,9.0
5,12 Angry Men,1957,96,9.0
6,Dara iz Jasenovca,2020,130,8.9
7,Shershaah,2021,135,8.9
8,The Lord of the Rings: The Return of the King,2003,201,8.9
9,Pulp Fiction,1994,154,8.9
10,Schindler's List,1993,195,8.9
11,Inception,2010,148,8.8
12,Fight Club,1999,139,8.8
13,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8
14,Forrest Gump,1994,142,8.8
15,"Il buono, il brutto, il cattivo",1966,161,8.8
16,The Lord of the Rings: The Two Towers,2002,179,8.7
17,The Matrix,1999,136,8.7
18,Goodfellas,1990,146,8.7
19,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7
20,One Flew Over the Cuckoo's Nest,1975,133,8.7
21,Gisaengchung,2019,132,8.6
22,Drishyam 2,2021,152,8.6
23,Interstellar,2014,169,8.6
24,Cidade de Deus,2002,130,8.6
25,Sen to Chihiro no kamikakushi,2001,125,8.6
26,Saving Private Ryan,1998,169,8.6
27,The Green Mile,1999,189,8.6
28,La vita è bella,1997,116,8.6
29,Se7en,1995,127,8.6
30,The Silence of the Lambs,1991,118,8.6
31,Star Wars,1977,121,8.6
32,Seppuku,1962,133,8.6
33,Shichinin no samurai,1954,207,8.6
34,It's a Wonderful Life,1946,130,8.6
35,Ratsasan,2018,170,8.5
36,Whiplash,2014,106,8.5
37,The Intouchables,2011,112,8.5
38,The Prestige,2006,130,8.5
39,The Departed,2006,151,8.5
40,The Pianist,2002,150,8.5
41,Gladiator,2000,155,8.5
42,American History X,1998,119,8.5
43,The Usual Suspects,1995,106,8.5
44,Léon,1994,110,8.5
45,The Lion King,1994,88,8.5
46,Terminator 2: Judgment Day,1991,137,8.5
47,Nuovo Cinema Paradiso,1988,155,8.5
48,Hotaru no haka,1988,89,8.5
49,Back to the Future,1985,116,8.5
50,Once Upon a Time in the West,1968,165,8.5
51,Psycho,1960,109,8.5
52,Pather Panchali,1955,125,8.5
53,Rear Window,1954,112,8.5
54,Casablanca,1942,102,8.5
55,Modern Times,1936,87,8.5
56,City Lights,1931,87,8.5
57,Hamilton,2020,160,8.4
58,Capharnaüm,2018,126,8.4
59,Joker,2019,122,8.4
60,Ayla: The Daughter of War,2017,125,8.4
61,Vikram Vedha,2017,147,8.4
62,Kimi no na wa.,2016,106,8.4
63,Dangal,2016,161,8.4
64,Spider-Man: Into the Spider-Verse,2018,117,8.4
65,Avengers: Endgame,2019,181,8.4
66,Avengers: Infinity War,2018,149,8.4
67,Coco,I 2017,105,8.4
68,Django Unchained,2012,165,8.4
69,The Dark Knight Rises,2012,164,8.4
70,3 Idiots,2009,170,8.4
71,Taare Zameen Par,2007,165,8.4
72,WALL·E,2008,98,8.4
73,The Lives of Others,2006,137,8.4
74,Oldeuboi,2003,101,8.4
75,Memento,2000,113,8.4
76,Mononoke-hime,1997,134,8.4
77,Once Upon a Time in America,1984,229,8.4
78,Raiders of the Lost Ark,1981,115,8.4
79,The Shining,1980,146,8.4
80,Apocalypse Now,1979,147,8.4
81,Alien,1979,117,8.4
82,Tengoku to jigoku,1963,143,8.4
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4
84,Witness for the Prosecution,1957,116,8.4
85,Paths of Glory,1957,88,8.4
86,Sunset Blvd.,1950,110,8.4
87,The Great Dictator,1940,125,8.4
88,Chhichhore,2019,143,8.3
89,1917,2019,119,8.3
90,Tumbbad,2018,104,8.3
91,K.G.F: Chapter 1,2018,156,8.3
92,Drishyam,2013,160,8.3
93,Jagten,2012,115,8.3
94,Jodaeiye Nader az Simin,2011,123,8.3
95,Incendies,2010,131,8.3
96,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,8.3
97,The Father,I 2020,97,8.3
98,Babam ve Oglum,2005,112,8.3
99,Inglourious Basterds,2009,153,8.3
